"p","truediv","chaoest","obsD","upper","lower","l","inds","reps"
<<<<<<< HEAD
0.9995,100,32.4985768500949,28,58.0216062003027,23.5315682496386,1,3162,50
0.9635,100,51.2435958254269,31,110.208183135423,30.105044299243,1,3162,50
1,100,28.9993674889311,27,43.8326154748727,23.0049220319042,1,3162,50
0.997,100,42.9943074003795,25,81.3250207623641,26.3405172835532,1,3162,50
0.952,100,55.1602888467215,35,118.683217158186,33.3752896861221,1,3162,50
0.999,100,36.0820419565676,32,62.7441628616802,26.7542830387833,1,3162,50
0.992,100,43.6401237914521,35,75.5992200366791,30.8617911941744,1,3162,50
0.984,100,45.9949399114484,30,91.6571327988677,27.6757918754016,1,3162,50
0.9525,100,55.1602888467215,35,117.997938618375,32.8575738703248,1,3162,50
0.945,100,56.9924098671727,33,119.644990625533,32.6699748127566,1,3162,50
0.937,100,60.9898798228969,29,124.100493537657,36.2930404488946,1,3162,50
0.9995,100,32.9990512333966,30,52.3528390253682,25.3604291581955,1,3162,50
0.9975,100,35.4988931056293,32,58.3382084752661,26.5976170774167,1,3162,50
0.999,100,33.0615314674257,30,56.6932498018982,24.0365978938231,1,3162,50
0.967,100,52.2435958254269,32,106.037892339337,31.2260116730922,1,3162,50
0.997,100,43.553798580364,38,63.96514261818,33.3726062487935,1,3162,50
0.8755,100,72.4871916508539,32,145.258410520956,43.8888975544788,1,3162,50
0.9885,100,42.1217979127135,32,79.2996646741484,28.3148449398031,1,3162,50
0.719,100,92.4808665401644,32,197.225458760278,50.6696080328906,1,3162,50
0.969,100,52.4922517394054,28,107.063663152089,31.6859275417156,1,3162,50
0.9945,100,43.9943074003795,26,83.4227239734873,27.4382204946764,1,3162,50
0.9985,100,38.3979759645794,32,68.1534069695441,27.1641596577161,1,3162,50
0.9925,100,41.0974383301708,33,75.0897711475495,28.1033701355318,1,3162,50
1,100,31.1240117014548,28,52.2751823156996,23.7826143207597,1,3162,50
0.978,100,47.1202166350411,32,92.3812554513606,29.6855384548846,1,3162,50
0.999,100,38.3979759645794,32,67.5537522486173,27.6897816603821,1,3162,50
0.817,100,82.9841872232764,33,166.054605430999,51.5892354120232,1,3162,50
0.999,100,35.9981024667932,30,60.6961784805992,26.6060140277213,1,3162,50
1,100,32.5988614800759,29,56.3654413156795,24.5002057053063,1,3162,50
0.99,100,40.2461258697027,28,80.0611330882353,25.3262342900063,1,3162,50
0.9125,100,63.1577588024457,35,147.636236358688,34.6707082119452,1,3162,50
1,100,34.9990512333966,32,55.679962068731,27.3543242867365,1,3162,50
0.945,100,58.9898798228969,27,115.592321712637,33.6163571332565,1,3162,50
0.8605,100,70.4871916508539,30,142.068457485938,40.2647994635892,1,3162,50
0.9975,100,35.3316466371495,30,60.499146254166,25.2590292396182,1,3162,50
0.9965,100,41.2480234029096,35,69.7621028517904,29.8561625186679,1,3162,50
0.986,100,44.9949399114484,29,91.2288974928278,27.1479044504495,1,3162,50
1,100,31.4985768500949,27,57.2662342411561,22.5256428433067,1,3162,50
0.9945,100,37.1640839131351,29,71.4210819285375,24.6846018526362,1,3162,50
1,100,28.2221519432146,28,42.8664677673802,22.3720022392335,1,3162,50
0.997,100,38.1640839131351,30,70.2170442559775,25.7292200940546,1,3162,50
0.9835,100,46.4960468058191,34,91.4022424065728,31.1697155248524,1,3162,50
0.8875,100,68.4871916508539,28,139.951468357598,37.7676109436651,1,3162,50
0.9925,100,43.3306978705461,35,76.2728048084523,31.1188410724203,1,3162,50
0.913,100,63.1577588024457,35,145.576554916989,35.2351965994687,1,3162,50
0.996,100,38.3979759645794,32,69.8436096194216,27.4810621810915,1,3162,50
0.9975,100,37.3316466371495,32,67.4816426721043,26.8941663912694,1,3162,50
0.97,100,48.6613957410921,32,103.240863303,30.3463081691189,1,3162,50
0.991,100,42.663293274299,32,80.7033998028423,28.8438567920896,1,3162,50
0.995,100,39.9974699557242,32,72.181776274791,28.193793985101,1,3162,50
=======
1,100,33.9981024667932,28,59.638408765863,24.6478964318971,1,3162,50
0.9975,100,37.3979759645794,31,68.2162341641316,25.9773821717217,1,3162,50
0.989,100,41.1217979127135,31,83.5419769485796,26.0588966196739,1,3162,50
0.844,100,71.4881404174573,34,177.543452954981,33.6435829711454,1,3162,50
0.759,100,83.982605945604,29,175.983678317483,45.0222614926885,1,3162,50
0.9915,100,42.1217979127135,32,80.0686433088737,27.8342188939465,1,3162,50
0.9185,100,64.2404332700822,34,138.879220428256,37.1595018956821,1,3162,50
0.999,100,37.3316466371495,32,62.409639209437,27.4203918976091,1,3162,50
0.9915,100,40.2461258697027,28,78.3088150827849,24.4492720720322,1,3162,50
0.993,100,42.663293274299,32,79.5421101327184,28.6825671219657,1,3162,50
0.9975,100,40.3316466371495,35,68.2304089831318,29.8412881735176,1,3162,50
1,100,30.1240117014548,27,49.8774960918283,21.8850862246556,1,3162,50
0.999,100,38.5699828318424,34,62.1170724867501,29.0012834291916,1,3162,50
1,100,28.6426538357278,28,43.5454429125817,22.6511038866487,1,3162,50
1,100,27.1246442125237,26,41.4901386733457,21.4958312729662,1,3162,50
0.9735,100,50.1202166350411,35,101.760391606195,32.2823713658412,1,3162,50
0.999,100,37.9971537001898,29,66.2631317761827,26.3991611879474,1,3162,50
0.992,100,42.663293274299,32,82.1581742514658,29.1733545171205,1,3162,50
1,100,31.7851495436884,30,52.4210774756893,24.4286676085166,1,3162,50
0.944,100,55.9924098671727,32,127.875305637631,31.5051601600855,1,3162,50
0.996,100,36.9971537001898,28,68.5183088832352,25.0308009768468,1,3162,50
0.9985,100,37.9974699557242,30,70.1913294229027,25.9534261970962,1,3162,50
1,100,30.9993674889311,29,45.6173051833278,24.7896117403592,1,3162,50
0.9845,100,44.4957305502846,31,90.4018377685034,28.4204968450373,1,3162,50
1,100,33.8984503478811,29,58.8465572347218,24.6064402201741,1,3162,50
1,100,32.165348935273,28,56.9226086995058,23.5991847062526,1,3162,50
0.986,100,45.4957305502846,32,89.9561753535912,29.9745181745906,1,3162,50
0.981,100,43.4957305502846,30,93.8241178946982,25.8443582489044,1,3162,50
0.8865,100,68.6563356525406,36,165.322259390311,37.6943867358727,1,3162,50
0.996,100,40.7478652751423,34,67.2334407993798,29.9106493171955,1,3162,50
0.797,100,80.9841872232764,31,160.876663283391,45.5775909662924,1,3162,50
0.993,100,41.3306978705461,33,75.4291915373265,28.191920822589,1,3162,50
0.9965,100,37.3979759645794,31,67.418934521927,25.9304778489353,1,3162,50
0.9995,100,35.9981024667932,30,62.0944166711076,26.6037462093745,1,3162,50
0.9815,100,44.4960468058191,32,89.9014774821353,28.5859598772439,1,3162,50
0.9965,100,38.1230629348514,32,68.0872281131029,27.5984551845767,1,3162,50
0.9985,100,38.8984503478811,34,62.0092888934952,30.1619047785589,1,3162,50
0.971,100,48.6613957410921,32,103.80619244372,29.494786160777,1,3162,50
0.8225,100,75.2366382036686,33,179.837287385389,34.5060492449713,1,3162,50
0.9975,100,37.3316466371495,32,60.9588250305816,27.7180755049649,1,3162,50
0.9875,100,44.4957305502846,31,86.0448637571471,28.5614671727069,1,3162,50
0.9995,100,31.1240117014548,28,51.1580221587829,23.665454163843,1,3162,50
1,100,35.4985768500949,31,57.3597333007038,26.7684619534552,1,3162,50
0.994,100,41.4960468058191,29,74.4362888617613,28.9478321887695,1,3162,50
0.9985,100,35.8984503478811,31,60.7694437678835,26.6792793150056,1,3162,50
0.8845,100,71.4871916508539,31,144.388239304131,43.5019068141459,1,3162,50
0.9405,100,58.9898798228969,27,120.832068518456,32.2585074811376,1,3162,50
0.9875,100,42.4957305502846,29,89.4611926125154,24.6461493909257,1,3162,50
1,100,28.5623221062619,28,44.6437226228753,22.7493835969424,1,3162,50
0.998,100,37.1230629348514,31,65.7653937493212,26.5265417569113,1,3162,50
>>>>>>> b30ed5a98ad44f520578d8208fcfbc749f6a8421
